Recording	Participant	Timeline	TOI	Interval	Media	Group1	Event_type	Validity	EventIndex	Start	Stop	Duration	AOI	Hit_proportion	FixationPointX	FixationPointY	Average_pupil_diameter	Saccade_direction	Average_velocity	Peak_velocity	Saccade_amplitude	Start_AOI	Landing_AOI	Start_position_X	Start_position_Y	Landing_position_X	Landing_position_Y
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	100	30338	30404	67						92.21	105.43	204.88	6.25	f	a	0.25295	0.51967	0.24253	0.25004
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag1	Fixation	Whole	96	30404	31236	832	a	1	0.24253	0.25004	3.61943										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	101	31236	31303	67						312.26	192.9	308.69	14.36	a	h	0.24253	0.25004	0.50453	0.53834
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag3	Fixation	Whole	97	31303	31653	349	h	1	0.50453	0.53834	3.63015										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	102	31653	31702	50						167.24	116.87	212.48	6.04	h	g	0.50453	0.53834	0.37693	0.50945
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag3	Fixation	Whole	98	31702	31835	133	g	1	0.37693	0.50945	3.57669										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	103	31835	31902	67						188.17	99.58	229.97	7.07	g	f	0.37693	0.50945	0.23855	0.52932
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag1	Fixation	Whole	99	31902	32102	200	f	1	0.23855	0.52932	3.54112										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	104	32102	32152	50						17.54	203.63	279.77	10.37	f	h	0.23855	0.52932	0.44946	0.46267
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag3	Fixation	Whole	100	32152	32634	482	h	1	0.44946	0.46267	3.48056										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	105	32634	32701	67						328.87	140	275.1	9.22	h	i	0.44946	0.46267	0.63587	0.57526
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag3	Fixation	Whole	101	32701	33682	982	i	1	0.63587	0.57526	3.54219										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	106	33682	33732	50						171.82	130.79	241.2	6.69	i	h	0.63587	0.57526	0.48908	0.55415
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag3	Fixation	Whole	102	33732	34232	499	h	1	0.48908	0.55415	3.59512										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	107	34232	34315	83						171.98	156.55	271.7	12.62	h	f	0.48908	0.55415	0.21436	0.51542
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag1	Fixation	Whole	103	34315	34847	533	f	1	0.21436	0.51542	3.3955										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	108	34847	34914	66						57.87	107.17	186.23	7.1	f	b	0.21436	0.51542	0.32935	0.3323
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag2	Fixation	Whole	104	34914	35080	166	b	1	0.32935	0.3323	3.37627										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	109	35080	35130	50						139.84	101.13	212.12	5.27	b	a	0.32935	0.3323	0.22253	0.24216
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag1	Fixation	Whole	105	35130	35530	399	a	1	0.22253	0.24216	3.30878										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	110	35530	35580	50						2.08	183.62	260.24	9.52	a		0.22253	0.24216	0.43297	0.2345
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Fixation	Whole	106	35580	35746	167		0	0.43297	0.2345	3.37957										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	111	35746	35796	50						185.98	54.89	65.95	3.14		b	0.43297	0.2345	0.36434	0.2417
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag2	Fixation	Whole	107	35796	35946	150	b	1	0.36434	0.2417	3.46785										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	112	35946	35996	50						180.43	125.08	209.46	6.48	b	a	0.36434	0.2417	0.22165	0.24278
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag1	Fixation	Whole	108	35996	36345	349	a	1	0.22165	0.24278	3.4853										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	113	36345	36362	17						297.23	47.04	47.04	1.05	a	a	0.22165	0.24278	0.23862	0.27575
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag1	Fixation	Whole	109	36362	36761	399	a	1	0.23862	0.27575	3.385										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	114	36761	36794	33						106.1	56.18	74.76	1.94	a	a	0.23862	0.27575	0.21707	0.20111
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag1	Fixation	Whole	110	36794	37177	383	a	1	0.21707	0.20111	3.31266										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	115	37177	37194	17						269.44	82.2	82.2	2.03	a	a	0.21707	0.20111	0.21621	0.28967
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag1	Fixation	Whole	111	37194	38059	865	a	1	0.21621	0.28967	3.52377										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	116	38059	38109	50						275.35	94.78	188.86	4.78	a	f	0.21621	0.28967	0.23549	0.49572
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag1	Fixation	Whole	112	38109	38325	216	f	1	0.23549	0.49572	3.57629										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	117	38325	38342	17						259.57	52.91	52.91	1.06	f	f	0.23549	0.49572	0.22763	0.53842
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag1	Fixation	Whole	113	38342	39074	732	f	1	0.22763	0.53842	3.53128										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	118	39074	39124	50						270.93	122.84	234.22	6.3	f	k	0.22763	0.53842	0.23191	0.80152
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag1	Fixation	Whole	114	39124	40122	998	k	1	0.23191	0.80152	3.36858										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	119	40122	40156	33						84.52	66.12	85.47	2.13	k	k	0.23191	0.80152	0.24001	0.71715
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag1	Fixation	Whole	115	40156	41903	1747	k	1	0.24001	0.71715	3.41595										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	120	41903	41953	50						338.2	118.58	234.56	6.24	k	l	0.24001	0.71715	0.37104	0.76957
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag4	Fixation	Whole	116	41953	42402	449	l	1	0.37104	0.76957	3.32158										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	121	42402	42452	50						1.01	126.67	255.6	6.27	l	m	0.37104	0.76957	0.50638	0.76718
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag4	Fixation	Whole	117	42452	42835	383	m	1	0.50638	0.76718	3.32238										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	122	42835	42851	16						201.25	63.33	63.33	1.29	m	m	0.50638	0.76718	0.47865	0.77796
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag4	Fixation	Whole	118	42851	43001	150	m	1	0.47865	0.77796	3.32855										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	123	43001	43051	50						170.09	96.5	173.22	4.88	m	l	0.47865	0.77796	0.37796	0.76038
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag4	Fixation	Whole	119	43051	44249	1198	l	1	0.37796	0.76038	3.40791										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	124	44249	44299	50						6.04	122.88	232.71	6.49	l	m	0.37796	0.76038	0.5132	0.74607
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag4	Fixation	Whole	120	44299	45913	1614	m	1	0.5132	0.74607	3.49384										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	125	45913	45946	33						0.59	168.79	169.9	6.13	m	n	0.5132	0.74607	0.64458	0.74472
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag4	Fixation	Whole	121	45946	46312	366	n	1	0.64458	0.74472	3.5597										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	126	46312	46329	17						235.64	80.9	80.9	1.69	n	n	0.64458	0.74472	0.616	0.78653
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag4	Fixation	Whole	122	46329	46529	200	n	1	0.616	0.78653	3.45837										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	127	46529	46545	16						301.09	47.66	47.66	1.08	n	n	0.616	0.78653	0.63375	0.81598
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag4	Fixation	Whole	123	46545	47361	815	n	1	0.63375	0.81598	3.37973										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	128	47361	47411	50						26.17	104.79	174.96	5.03	n	o	0.63375	0.81598	0.74241	0.76258
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag5	Fixation	Whole	124	47411	48176	766	o	1	0.74241	0.76258	3.41986										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	129	48176	48226	50						99.03	112.59	197.56	5.91	o		0.74241	0.76258	0.70416	0.52176
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Fixation	Whole	125	48226	48426	200		0	0.70416	0.52176	3.47423										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	130	48426	48459	33						19.06	60.21	62.41	2.55		j	0.70416	0.52176	0.76556	0.50055
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag5	Fixation	Whole	126	48459	48991	533	j	1	0.76556	0.50055	3.45571										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Partial	131	48991	49008	17							95.03	95.03		j		0.76556	0.50055		
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Partial	132	49075	49125	50							131.79	141.76			j			0.74772	0.51209
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag5	Fixation	Whole	127	49125	50972	1847	j	1	0.74772	0.51209	3.66219										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	133	50972	51022	50						184.53	149.03	174.32	7.23	j	i	0.74772	0.51209	0.58546	0.52495
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag3	Fixation	Whole	128	51022	51321	300	i	1	0.58546	0.52495	3.67564										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	134	51321	51338	16						8.44	88.67	88.67	1.76	i	i	0.58546	0.52495	0.62575	0.51897
suvin	suvin	Timeline1	t2-viewing	1	condition-3	Tag3	Fixation	Whole	129	51338	52403	1065	i	1	0.62575	0.51897	3.50079										
suvin	suvin	Timeline1	t2-viewing	1	condition-3		Saccade	Whole	135	52403	52469	67						87.81	85.8	171.44	5.78	i	d	0.62575	0.51897	0.6357	0.25822
